"GEOCODE" "NAME" "LAT" "LON" "TYPE" "DIST_ID" "DIST_NAM" "PROV_ID" "PROV_NAM" "coords.x1" "coords.x2"
"203" "AF010900234" "Qaleh-ye Mohammad Wayskhan" 34.382 69.1272 0 109 "Chahar Asyab" 1 "Kabul" 69.1272 34.382
"204" "AF010900235" "Qal'eh-ye Safed (2)" 34.3922 69.11829 0 109 "Chahar Asyab" 1 "Kabul" 69.11829 34.3922
"205" "AF010900236" "Qaleh-ye Hajiha" 34.39369 69.13669 0 109 "Chahar Asyab" 1 "Kabul" 69.13669 34.39369
"206" "AF011400237" "Surgay" 34.35029 69.2083 0 114 "Musayi" 1 "Kabul" 69.2083 34.35029
"207" "AF011400238" "Kuz Myakhel" 34.3442 69.19099 0 114 "Musayi" 1 "Kabul" 69.19099 34.3442
"208" "AF011400239" "Syahjoy (1)" 34.33499 69.17049 0 114 "Musayi" 1 "Kabul" 69.17049 34.33499
"209" "AF011400240" "Hosaynkhel" 34.3305 69.1741 0 114 "Musayi" 1 "Kabul" 69.1741 34.3305
"210" "AF011400241" "Dehe Kalan" 34.3252 69.17249 0 114 "Musayi" 1 "Kabul" 69.17249 34.3252
"211" "AF011400242" "Syahjoy (2)" 34.32739 69.1806 0 114 "Musayi" 1 "Kabul" 69.1806 34.32739
"212" "AF011400243" "Shadkhana" 34.32843 69.18736 0 114 "Musayi" 1 "Kabul" 69.18736 34.32843
"213" "AF011400244" "Qaleh-ye Janan" 34.34839 69.16729 0 114 "Musayi" 1 "Kabul" 69.16729 34.34839
"214" "AF011400245" "Ahmadkhel" 34.33919 69.15879 0 114 "Musayi" 1 "Kabul" 69.15879 34.33919
"215" "AF011400246" "Qultoghan" 34.341 69.16349 0 114 "Musayi" 1 "Kabul" 69.16349 34.341
